X	Y
0997.5000000000	0192.5000000000
0507.5000000000	0280.0000000000
3762.5000000000	0280.0000000000
1872.5000000000	0297.5000000000
2047.5000000000	0315.0000000000
2555.0000000000	0402.5000000000
0892.5000000000	0420.0000000000
1522.5000000000	0420.0000000000
3255.0000000000	0437.5000000000
3473.7500000000	0437.5000000000
2992.5000000000	0560.0000000000
3605.0000000000	0577.5000000000
2432.5000000000	0595.0000000000
0857.5000000000	0612.5000000000
1487.5000000000	0647.5000000000
1225.0000000000	0787.5000000000
3850.0000000000	0805.0000000000
2310.0000000000	0875.0000000000
0980.0000000000	0892.5000000000
0420.0000000000	0910.0000000000
2625.0000000000	0910.0000000000
3675.0000000000	0910.0000000000
3395.0000000000	0945.0000000000
3727.5000000000	1067.5000000000
1330.0000000000	1120.0000000000
3552.5000000000	1137.5000000000
2222.5000000000	1181.2500000000
1242.5000000000	1260.0000000000
2852.5000000000	1277.5000000000
2240.0000000000	1312.5000000000
1260.0000000000	1365.0000000000
3342.5000000000	1365.0000000000
1925.0000000000	1470.0000000000
1155.0000000000	1505.0000000000
2021.2500000000	1610.0000000000
0525.0000000000	1645.0000000000
2205.0000000000	1732.5000000000
2362.5000000000	1732.5000000000
1382.5000000000	1960.0000000000
0988.7500000000	2100.0000000000
1452.5000000000	2100.0000000000
0796.2500000000	2152.5000000000
1172.5000000000	2152.5000000000
2380.0000000000	2170.0000000000
